customers,utilization,variant,instance_seed,raw_cost,cost_2opt_only,cost_full_polish,seconds,feasible
100,0.85,qpso,513,6503.2554,6108.3953,4221.3304,9.86,1
100,0.85,qpso,514,4978.2054,4458.6012,2746.9341,9.88,1
100,0.85,qpso,515,6727.7882,5278.1692,3911.5845,10.07,1
100,0.85,qpso,516,6186.9801,5877.1774,3787.5557,9.61,1
100,0.85,qpso,517,6466.7947,5863.0228,3921.6900,10.14,1
100,0.85,qpso,518,5575.8734,5105.6829,3426.0285,9.52,1
100,0.85,qpso,519,5707.8004,5277.3727,3631.8199,9.88,1
100,0.85,qpso_b1.0_0.2,500,7296.1937,5687.9357,4022.5142,10.70,1
100,0.85,qpso_b1.0_0.2,501,6726.9848,4983.7636,2997.5817,10.86,1
100,0.85,qpso_b1.0_0.2,502,7097.9543,5197.4723,3521.9578,10.99,1
100,0.85,qpso_b1.0_0.2,503,6741.4582,5138.6369,3478.1559,10.76,1
100,0.85,qpso_b1.0_0.2,504,6311.6217,4805.5194,2734.7578,10.89,1
100,0.85,qpso_b1.0_0.2,505,7182.6642,5581.1349,3620.0710,10.99,1
100,0.85,qpso_b1.0_0.2,506,6505.3278,4959.9913,2987.3980,11.02,1
100,0.85,qpso_b1.0_0.2,507,6950.9609,5045.0187,2867.7258,11.06,1
100,0.85,qpso_b1.0_0.2,508,6544.1584,5098.0619,3219.9812,10.89,1
100,0.85,qpso_b1.0_0.2,509,6962.9066,5547.6061,3563.0868,10.98,1
100,0.85,qpso_b1.0_0.2,510,6584.9686,5077.9071,2682.9171,10.72,1
100,0.85,qpso_b1.0_0.2,511,8037.0110,5940.5578,3509.8859,10.90,1
100,0.85,qpso_b1.0_0.2,512,6714.3300,5293.0925,3855.3097,10.75,1
100,0.85,qpso_b1.0_0.2,513,8015.1308,5926.9265,4324.9268,10.92,1
100,0.85,qpso_b1.0_0.2,514,5747.1296,4324.2699,2570.4047,10.85,1
100,0.85,qpso_b1.0_0.2,515,7257.0083,5055.8596,4035.0739,10.81,1
100,0.85,qpso_b1.0_0.2,516,8246.8008,6572.2916,3905.9482,10.70,1
100,0.85,qpso_b1.0_0.2,517,7534.5806,6047.7399,3817.5808,10.78,1
100,0.85,qpso_b1.0_0.2,518,6867.2239,4949.5518,3441.1860,10.77,1
100,0.85,qpso_b1.0_0.2,519,7296.0956,5695.0810,3800.6809,10.71,1
100,0.85,qpso_warm,500,4061.6927,4061.6927,3835.7091,8.82,1
100,0.85,qpso_warm,501,2809.1833,2809.1833,2492.9758,8.76,1
100,0.85,qpso_warm,502,3553.9070,3553.9070,3311.7105,8.65,1
100,0.85,qpso_warm,503,3523.3288,3516.1162,3205.6194,8.68,1
100,0.85,qpso_warm,504,2938.5785,2938.5785,2542.0773,8.74,1
100,0.85,qpso_warm,505,3609.6963,3609.6963,3426.9299,8.82,1
100,0.85,qpso_warm,506,2954.2111,2954.2111,2884.2754,8.70,1
100,0.85,qpso_warm,507,3105.7532,3105.7532,2638.0853,8.71,1
100,0.85,qpso_warm,508,3186.0074,3186.0074,2968.3586,8.67,1
100,0.85,qpso_warm,509,3395.3219,3395.3219,3214.4346,8.72,1
100,0.85,qpso_warm,510,2629.7069,2629.7069,2544.7349,8.83,1
100,0.85,qpso_warm,511,3784.4466,3784.4466,3382.1861,8.91,1
100,0.85,qpso_warm,512,3984.5981,3984.5981,3659.9234,8.84,1
100,0.85,qpso_warm,513,4458.0414,4458.0414,4023.9065,8.96,1
100,0.85,qpso_warm,514,2609.4471,2609.4471,2304.3363,8.89,1
100,0.85,qpso_warm,515,3784.4041,3784.4041,3594.5739,8.94,1
100,0.85,qpso_warm,516,4111.8396,4109.6967,3526.9399,8.86,1
100,0.85,qpso_warm,517,3897.4750,3897.4750,3739.2992,8.87,1
100,0.85,qpso_warm,518,3383.3478,3383.3478,3188.9263,8.89,1
100,0.85,qpso_warm,519,3799.0379,3799.0379,3246.6517,8.94,1
