pipeline,instance_seed,start_cost,start_seconds,after_local_search,seconds_per_ils_iteration,cost_after_100_ils_iterations,cost_after_200_ils_iterations,cost_after_300_ils_iterations,cost_after_400_ils_iterations,cost_after_500_ils_iterations,cost_after_600_ils_iterations,cost_after_700_ils_iterations,cost_after_800_ils_iterations,cost_after_900_ils_iterations,cost_after_1000_ils_iterations,cost_after_1100_ils_iterations,cost_after_1200_ils_iterations,cost_after_1300_ils_iterations,cost_after_1400_ils_iterations,cost_after_1500_ils_iterations,cost_after_1600_ils_iterations,nn_time_matched_extra_iterations
pso,518,3414.7913,2.60,3155.8389,0.0142,3014.3683,3014.3683,3014.3683,3014.3683,3014.3683,3014.3683,3014.3683,3001.2022,3001.2022,2999.5802,,,,,,,185
pso,519,3931.1580,2.74,2997.4869,0.0134,2932.8752,2912.2441,2912.2441,2912.2441,2908.8592,2908.8592,2908.8592,2906.3216,2906.3216,2906.3216,,,,,,,230
qpso,500,4061.6927,2.74,3597.2175,0.0134,3451.9588,3450.4966,3425.3124,3425.3124,3425.3124,3424.0857,3411.7596,3411.7596,3411.7596,3411.7596,,,,,,,275
qpso,501,2809.1833,2.74,2509.2927,0.0128,2349.2814,2346.0118,2346.0118,2346.0118,2346.0118,2346.0118,2346.0118,2346.0118,2346.0118,2346.0118,,,,,,,277
qpso,502,3553.9070,2.86,3198.9502,0.0141,2807.3633,2805.5446,2805.5446,2805.5446,2796.8618,2796.8618,2796.8618,2796.8618,2796.8618,2796.8618,,,,,,,256
qpso,503,3523.3288,2.87,3160.1128,0.0130,2892.5985,2878.9234,2856.4671,2856.4671,2856.4671,2846.0797,2826.4560,2826.4560,2824.7611,2824.7611,,,,,,,271
qpso,504,2938.5785,2.83,2420.7719,0.0128,2331.9771,2282.7633,2273.6514,2273.6514,2273.6514,2273.6514,2273.6514,2261.1129,2261.1129,2261.1129,,,,,,,288
qpso,505,3609.6963,2.76,3358.2073,0.0119,3124.2477,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,3116.3622,,,,,,,290
qpso,506,2954.2111,2.78,2633.6692,0.0126,2512.4625,2510.5919,2510.5919,2510.5919,2506.9501,2506.9501,2501.9465,2498.0327,2498.0195,2498.0195,,,,,,,283
qpso,507,3105.7532,2.87,2591.0543,0.0120,2421.8508,2412.7627,2380.6290,2361.0395,2347.0016,2345.2515,2345.2515,2345.2515,2345.2515,2345.2515,,,,,,,314
qpso,508,3186.0074,2.87,2798.4963,0.0111,2699.4800,2616.9869,2615.8425,2615.8425,2615.8425,2615.8425,2610.6558,2610.6558,2610.6558,2596.8229,,,,,,,302
qpso,509,3395.3219,2.91,3157.0956,0.0144,2978.5729,2948.8620,2948.8620,2948.8620,2948.8620,2948.8620,2940.8920,2940.8920,2940.8920,2940.8920,,,,,,,252
qpso,510,2629.7069,2.79,2611.0697,0.0124,2344.9424,2328.1966,2313.7430,2313.7430,2313.6645,2313.6645,2313.6645,2313.6645,2303.8639,2300.4600,,,,,,,274
qpso,511,3784.4466,2.91,3027.8065,0.0128,2914.1044,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,,,,,,,289
qpso,512,3984.5981,2.87,3481.6932,0.0147,3311.7656,3311.7656,3303.8792,3303.8792,3303.8792,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,,,,,,,245
qpso,513,4458.0414,2.81,3851.0693,0.0155,3662.8529,3662.2505,3661.1511,3661.1511,3652.9247,3652.9247,3652.2024,3631.2743,3629.4528,3629.4528,,,,,,,247
qpso,514,2609.4471,2.76,2394.9268,0.0122,2167.6276,2156.8789,2156.8789,2156.8789,2156.8789,2156.8789,2126.8489,2126.8489,2126.8489,2126.8489,,,,,,,285
qpso,515,3784.4041,2.86,3435.3116,0.0154,3389.5348,3388.9910,3388.9910,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,,,,,,,234
qpso,516,4111.8396,2.96,3418.7593,0.0158,3276.0073,3232.5541,3194.3130,3191.0952,3184.7254,3182.9519,3169.9861,3159.5270,3159.5270,3159.5270,,,,,,,246
qpso,517,3897.4750,2.86,3449.6037,0.0148,3393.2112,3376.7998,3366.5882,3366.5882,3363.2341,3363.2341,3356.7064,3356.7064,3356.7064,3356.7064,,,,,,,231
qpso,518,3383.3478,2.92,3145.3432,0.0161,2970.0469,2970.0469,2970.0469,2970.0469,2970.0469,2970.0469,2970.0469,2970.0469,2970.0469,2970.0469,,,,,,,208
qpso,519,3799.0379,3.02,3005.2384,0.0135,2947.1194,2935.0566,2926.2869,2926.2869,2926.2869,2926.2869,2924.0929,2924.0929,2924.0929,2924.0929,,,,,,,254
