solver,stops,seed,setting,time_min,distance_km,delay_min,overload
route search,30,814,shortest,181.6837,74.3108,72.7418,0.0
route search,30,814,avoid jams,169.9178,87.6001,45.177,0.0
route search,30,814,balanced,167.0155,79.5427,51.6134,0.0
route search,30,815,fastest,199.8958,94.5852,61.826,0.0
route search,30,815,shortest,226.7042,87.6368,96.6832,0.0
route search,30,815,avoid jams,203.7966,100.7975,57.0767,0.0
route search,30,815,balanced,200.1168,94.7533,61.8734,0.0
route search,30,816,fastest,300.5459,141.7959,91.6987,0.0
route search,30,816,shortest,334.874,130.7669,140.3038,0.0
route search,30,816,avoid jams,301.6914,145.6164,87.2867,0.0
route search,30,816,balanced,300.6814,143.3261,89.0332,0.0
route search,30,817,fastest,190.7666,93.3952,54.362,0.0
route search,30,817,shortest,205.489,89.5768,72.9635,0.0
route search,30,817,avoid jams,192.3079,97.7858,49.5991,0.0
route search,30,817,balanced,190.9438,94.6455,52.6863,0.0
route search,30,818,fastest,144.1747,72.2431,38.587,0.0
route search,30,818,shortest,166.895,66.7897,67.5876,0.0
route search,30,818,avoid jams,146.0109,75.749,35.3265,0.0
route search,30,818,balanced,144.1866,72.6093,38.1566,0.0
route search,30,819,fastest,168.2542,81.263,48.7306,0.0
route search,30,819,shortest,189.4511,78.5077,72.3921,0.0
route search,30,819,avoid jams,168.1898,83.5951,45.1995,0.0
route search,30,819,balanced,168.2778,81.7119,48.0854,0.0
route search,60,800,fastest,285.5525,148.886,69.0156,0.0
route search,60,800,shortest,350.2426,138.1989,145.5704,0.0
route search,60,800,avoid jams,289.5303,155.5791,62.8705,0.0
route search,60,800,balanced,289.0226,150.0574,70.1149,0.0
route search,60,801,fastest,298.5871,142.5215,90.8044,0.0
route search,60,801,shortest,327.0044,133.0519,130.8754,0.0
route search,60,801,avoid jams,306.3085,155.582,79.9224,0.0
route search,60,801,balanced,302.2126,146.1784,88.592,0.0
route search,60,802,fastest,258.8861,131.1639,66.9069,0.0
route search,60,802,shortest,294.2205,120.2294,116.9888,0.0
route search,60,802,avoid jams,260.4309,136.2422,61.2841,0.0
route search,60,802,balanced,254.1259,127.083,67.5523,0.0
route search,60,803,fastest,353.4862,168.3223,106.2742,0.0
route search,60,803,shortest,411.3663,161.8043,170.7721,0.0
route search,60,803,avoid jams,357.174,172.6946,103.3872,0.0
route search,60,803,balanced,362.059,174.6825,104.9874,0.0
route search,60,804,fastest,234.9553,117.9445,62.4207,0.0
route search,60,804,shortest,272.0807,109.7721,109.2605,0.0
route search,60,804,avoid jams,240.9681,124.9798,58.7255,0.0
route search,60,804,balanced,232.2757,115.8185,62.7637,0.0
route search,60,805,fastest,277.4539,132.5886,82.6196,0.0
route search,60,805,shortest,312.3541,125.9031,125.1155,0.0
route search,60,805,avoid jams,281.3778,140.8776,75.1505,0.0
route search,60,805,balanced,280.2756,135.1165,82.0841,0.0
route search,60,806,fastest,349.0875,183.9838,89.8647,0.0
route search,60,806,shortest,439.2977,180.7077,174.1464,0.0
route search,60,806,avoid jams,357.4571,197.7331,80.5569,0.0
route search,60,806,balanced,350.2705,184.0689,90.9467,0.0
route search,60,807,fastest,277.8366,128.7489,87.7737,0.0
route search,60,807,shortest,308.5965,124.8321,123.4011,0.0
route search,60,807,avoid jams,281.3758,136.5622,80.4603,0.0
route search,60,807,balanced,281.3802,131.1846,88.2744,0.0
route search,60,808,fastest,284.04,140.5172,77.9595,0.0
route search,60,808,shortest,324.2393,131.1935,130.116,0.0
route search,60,808,avoid jams,283.6141,142.6355,74.5804,0.0
route search,60,808,balanced,284.15,141.3053,76.8768,0.0
route search,60,809,fastest,315.7433,148.1704,97.6616,0.0
route search,60,809,shortest,356.8811,141.8711,146.3948,0.0
route search,60,809,avoid jams,319.5134,157.6797,87.7776,0.0
route search,60,809,balanced,327.5853,156.1258,97.5862,0.0
route search,60,810,fastest,215.3493,100.9047,66.2427,0.0
route search,60,810,shortest,239.2961,92.9421,100.9188,0.0
route search,60,810,avoid jams,212.3967,107.0795,54.9959,0.0
route search,60,810,balanced,213.9746,102.8602,62.5206,0.0
route search,60,811,fastest,341.9678,174.0698,88.1055,0.0
route search,60,811,shortest,364.4551,157.7714,132.0666,0.0
route search,60,811,avoid jams,335.1525,174.5621,80.4121,0.0
route search,60,811,balanced,332.0317,170.4998,83.0025,0.0
route search,60,812,fastest,344.0359,174.2248,88.8237,0.0
route search,60,812,shortest,386.1592,158.9555,150.4402,0.0
route search,60,812,avoid jams,346.945,179.5044,83.7752,0.0
route search,60,812,balanced,346.8642,175.8918,89.2862,0.0
route search,60,813,fastest,395.3829,197.8898,105.0736,0.0
route search,60,813,shortest,448.5139,186.5529,171.7177,0.0
route search,60,813,avoid jams,392.3098,200.9246,98.38,0.0
route search,60,813,balanced,395.2318,197.5743,105.3865,0.0
route search,60,814,fastest,241.8228,123.1405,62.0156,0.0
route search,60,814,shortest,272.5005,117.0988,98.3257,0.0
route search,60,814,avoid jams,241.8687,127.7996,55.2598,0.0
route search,60,814,balanced,238.4528,122.2187,59.649,0.0
route search,60,815,fastest,336.2711,161.1586,100.591,0.0
route search,60,815,shortest,370.4539,151.2994,146.2985,0.0
route search,60,815,avoid jams,339.9247,166.7861,95.0743,0.0
route search,60,815,balanced,336.2012,161.2035,100.4395,0.0
route search,60,816,fastest,381.9109,181.72,118.4391,0.0
route search,60,816,shortest,424.2263,160.9102,183.5556,0.0
route search,60,816,avoid jams,385.5511,188.2313,112.3189,0.0
route search,60,816,balanced,385.2276,183.5299,119.056,0.0
route search,60,817,fastest,253.9382,133.9134,61.6788,0.0
route search,60,817,shortest,300.9283,125.1949,116.1922,0.0
route search,60,817,avoid jams,256.2037,136.9287,59.9021,0.0
route search,60,817,balanced,254.741,131.9025,65.0422,0.0
route search,60,818,fastest,285.5378,140.1929,81.4382,0.0
route search,60,818,shortest,348.6575,137.728,145.4951,0.0
route search,60,818,avoid jams,290.0074,149.1506,73.9508,0.0
route search,60,818,balanced,285.9176,143.6784,77.542,0.0
route search,60,819,fastest,303.3475,153.6481,78.8558,0.0
route search,60,819,shortest,368.3818,145.9751,151.2428,0.0
route search,60,819,avoid jams,310.955,168.5257,65.6353,0.0
route search,60,819,balanced,304.2169,156.0969,76.01,0.0
