stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
30,900,qpso,aware,248.5278,0.1543,1,87.7839,250.0712
30,900,qpso,ignoring,159.3544,298.9618,11,220.0189,3148.9726
30,900,pso,aware,215.7107,0.0,0,105.0068,215.7107
30,900,pso,ignoring,159.8552,273.0451,14,207.7064,2890.3067
30,900,ga,aware,284.1857,0.0,0,85.4591,284.1857
30,900,ga,ignoring,159.3544,203.0415,9,187.0412,2189.7699
30,900,nearest_neighbor,aware,220.6169,269.0064,12,216.4873,2910.6807
30,900,nearest_neighbor,ignoring,190.7953,297.6756,10,187.3188,3167.5512
30,901,qpso,aware,223.8529,0.0,0,108.7302,223.8529
30,901,qpso,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,901,pso,aware,209.9555,0.0,0,59.67,209.9555
30,901,pso,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,901,ga,aware,197.3266,0.0,0,91.102,197.3266
30,901,ga,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,901,nearest_neighbor,aware,158.9067,139.105,8,167.1445,1549.9565
30,901,nearest_neighbor,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,902,qpso,aware,207.4737,0.3416,1,56.5928,210.8899
30,902,qpso,ignoring,165.9306,506.3866,17,209.0517,5229.7969
30,902,pso,aware,207.4737,0.3416,1,58.5175,210.8899
30,902,pso,ignoring,165.191,348.0228,12,179.145,3645.4189
30,902,ga,aware,213.044,0.0,0,54.8615,213.044
30,902,ga,ignoring,174.684,439.3193,16,194.4917,4567.8773
30,902,nearest_neighbor,aware,171.2129,284.9669,12,169.4413,3020.8823
30,902,nearest_neighbor,ignoring,171.2129,284.9669,12,169.4413,3020.8823
30,903,qpso,aware,215.6854,0.0,0,88.5004,215.6854
30,903,qpso,ignoring,173.4574,251.5125,8,166.7615,2688.5828
30,903,pso,aware,228.0637,0.0,0,105.3987,228.0637
30,903,pso,ignoring,180.7473,287.7675,10,171.2989,3058.4222
30,903,ga,aware,225.982,0.0,0,105.7082,225.982
30,903,ga,ignoring,173.4574,251.5125,8,166.7615,2688.5828
30,903,nearest_neighbor,aware,202.2759,140.7478,6,146.1711,1609.754
30,903,nearest_neighbor,ignoring,173.4574,251.5125,8,166.7615,2688.5828
30,904,qpso,aware,283.1144,0.0,0,71.3383,283.1144
30,904,qpso,ignoring,166.1702,315.0886,12,185.82,3317.0563
30,904,pso,aware,306.4752,3.4722,2,60.3817,341.1976
30,904,pso,ignoring,173.4188,272.2118,9,189.4788,2895.5372
30,904,ga,aware,283.0044,1.2708,1,72.3957,295.7126
30,904,ga,ignoring,168.2595,252.9995,10,173.7307,2698.2548
30,904,nearest_neighbor,aware,172.9336,387.4021,11,217.6915,4046.9549
30,904,nearest_neighbor,ignoring,172.9336,387.4021,11,217.6915,4046.9549
30,905,qpso,aware,260.4629,0.0888,1,65.5745,261.3506
30,905,qpso,ignoring,212.9748,373.1319,14,142.5821,3944.2938
30,905,pso,aware,269.1865,0.0888,1,52.9021,270.0742
30,905,pso,ignoring,212.6192,332.3379,10,116.0827,3535.9981
30,905,ga,aware,276.4341,0.0,0,61.2421,276.4341
30,905,ga,ignoring,213.677,342.4825,12,118.9633,3638.5023
30,905,nearest_neighbor,aware,223.9638,283.2786,14,166.2596,3056.7502
30,905,nearest_neighbor,ignoring,213.9345,406.9404,15,147.5821,4283.3384
30,906,qpso,aware,291.3254,0.0,0,78.0458,291.3254
30,906,qpso,ignoring,189.5775,397.3741,14,199.1028,4163.3185
30,906,pso,aware,281.1868,2.5763,1,67.5098,306.9494
30,906,pso,ignoring,235.529,695.1106,13,188.9969,7186.635
30,906,ga,aware,271.9688,0.0,0,62.8838,271.9688
30,906,ga,ignoring,235.529,695.1106,13,188.9969,7186.635
30,906,nearest_neighbor,aware,258.8365,336.6691,12,205.2689,3625.5272
30,906,nearest_neighbor,ignoring,235.529,695.1106,13,188.9969,7186.635
30,907,qpso,aware,294.1419,0.0,0,83.3802,294.1419
30,907,qpso,ignoring,200.9325,211.7956,6,155.0811,2318.8881
30,907,pso,aware,293.7907,0.0,0,102.0568,293.7907
