stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
15,916,nearest_neighbor,aware,120.7314,17.1943,3,109.7794,292.6746
15,916,nearest_neighbor,ignoring,99.9366,23.0875,2,89.723,330.8121
15,917,qpso,aware,109.4513,0.0,0,58.5713,109.4513
15,917,qpso,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,917,pso,aware,168.947,15.1197,2,57.2688,320.144
15,917,pso,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,917,ga,aware,132.3882,0.0,0,57.5113,132.3882
15,917,ga,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,917,nearest_neighbor,aware,109.8141,79.6219,3,45.0542,906.0326
15,917,nearest_neighbor,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,918,qpso,aware,112.0648,0.0,0,73.1112,112.0648
15,918,qpso,ignoring,102.588,141.5677,9,106.9721,1518.265
15,918,pso,aware,128.5894,0.0,0,29.5457,128.5894
15,918,pso,ignoring,100.7704,175.6086,6,113.8723,1856.8565
15,918,ga,aware,124.3705,0.0,0,58.5408,124.3705
15,918,ga,ignoring,102.2566,161.3445,7,99.0706,1715.7017
15,918,nearest_neighbor,aware,124.4405,128.2757,4,74.0576,1407.1974
15,918,nearest_neighbor,ignoring,97.4478,271.8189,8,125.6982,2815.6364
15,919,qpso,aware,146.3369,0.0,0,29.9922,146.3369
15,919,qpso,ignoring,127.9639,31.8879,3,77.502,446.8432
15,919,pso,aware,159.3948,0.0,0,30.4933,159.3948
15,919,pso,ignoring,117.5411,93.5865,4,85.9323,1053.4062
15,919,ga,aware,138.7351,0.0,0,58.1814,138.7351
15,919,ga,ignoring,116.6464,68.3033,4,81.7736,799.6795
15,919,nearest_neighbor,aware,123.1489,49.5614,3,72.1554,618.7634
15,919,nearest_neighbor,ignoring,123.1489,49.5614,3,72.1554,618.7634
30,900,qpso,aware,323.2763,2.7047,1,54.6417,350.3228
30,900,qpso,ignoring,166.4768,295.5078,16,212.6541,3121.5549
30,900,pso,aware,328.4191,12.0443,4,97.1292,448.8624
30,900,pso,ignoring,159.8552,273.0451,14,207.7064,2890.3067
30,900,ga,aware,209.8061,0.0,0,132.3009,209.8061
30,900,ga,ignoring,159.3544,203.0415,9,187.0412,2189.7699
30,900,nearest_neighbor,aware,220.6169,269.0064,12,216.4873,2910.6807
30,900,nearest_neighbor,ignoring,190.7953,297.6756,10,187.3188,3167.5512
30,901,qpso,aware,249.1239,0.0,0,107.9663,249.1239
30,901,qpso,ignoring,159.244,143.1828,7,165.1452,1591.0722
30,901,pso,aware,300.6594,0.0,0,89.2034,300.6594
30,901,pso,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,901,ga,aware,196.6439,0.0,0,67.5221,196.6439
30,901,ga,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,901,nearest_neighbor,aware,158.9067,139.105,8,167.1445,1549.9565
30,901,nearest_neighbor,ignoring,158.9067,139.105,8,167.1445,1549.9565
30,902,qpso,aware,332.8365,25.4571,3,34.5193,587.4075
30,902,qpso,ignoring,171.6874,378.4087,14,200.5248,3955.7744
30,902,pso,aware,319.4496,3.375,3,11.7062,353.1991
30,902,pso,ignoring,165.191,348.0228,12,179.145,3645.4189
30,902,ga,aware,211.1024,0.0,0,59.5852,211.1024
30,902,ga,ignoring,174.684,439.3193,16,194.4917,4567.8773
30,902,nearest_neighbor,aware,171.2129,284.9669,12,169.4413,3020.8823
30,902,nearest_neighbor,ignoring,171.2129,284.9669,12,169.4413,3020.8823
30,903,qpso,aware,243.5436,0.0,0,97.145,243.5436
30,903,qpso,ignoring,174.1088,232.7176,7,159.9656,2501.2849
30,903,pso,aware,275.2036,0.0,0,85.4442,275.2036
30,903,pso,ignoring,180.7473,287.7675,10,171.2989,3058.4222
30,903,ga,aware,205.7598,0.0,0,114.9232,205.7598
30,903,ga,ignoring,173.4574,251.5125,8,166.7615,2688.5828
30,903,nearest_neighbor,aware,202.2759,140.7478,6,146.1711,1609.754
30,903,nearest_neighbor,ignoring,173.4574,251.5125,8,166.7615,2688.5828
30,904,qpso,aware,306.5955,13.8086,3,50.7977,444.6816
30,904,qpso,ignoring,173.4188,304.3802,10,194.4788,3217.221
30,904,pso,aware,323.4781,22.2872,3,31.7649,546.3505
30,904,pso,ignoring,173.4188,272.2118,9,189.4788,2895.5372
30,904,ga,aware,239.9994,0.0,0,77.3606,239.9994
30,904,ga,ignoring,168.2595,252.9995,10,173.7307,2698.2548
30,904,nearest_neighbor,aware,172.9336,387.4021,11,217.6915,4046.9549
30,904,nearest_neighbor,ignoring,172.9336,387.4021,11,217.6915,4046.9549
30,905,qpso,aware,333.5447,15.2356,2,30.2066,485.9006
30,905,qpso,ignoring,212.9748,373.1319,14,142.5821,3944.2938
30,905,pso,aware,357.929,1.4426,1,32.858,372.3555
30,905,pso,ignoring,212.6192,332.3379,10,116.0827,3535.9981
30,905,ga,aware,268.8216,0.0,0,94.0012,268.8216
30,905,ga,ignoring,213.9345,406.9404,15,147.5821,4283.3384
30,905,nearest_neighbor,aware,223.9638,283.2786,14,166.2596,3056.7502
30,905,nearest_neighbor,ignoring,213.9345,406.9404,15,147.5821,4283.3384
30,906,qpso,aware,320.0101,0.0,0,71.0808,320.0101
30,906,qpso,ignoring,194.6474,437.9808,14,187.1015,4574.4555
30,906,pso,aware,355.9498,69.8635,5,75.5087,1054.585
30,906,pso,ignoring,235.529,695.1106,13,188.9969,7186.635
30,906,ga,aware,282.0887,1.759,1,88.4941,299.6783
30,906,ga,ignoring,235.529,695.1106,13,188.9969,7186.635
30,906,nearest_neighbor,aware,258.8365,336.6691,12,205.2689,3625.5272
30,906,nearest_neighbor,ignoring,235.529,695.1106,13,188.9969,7186.635
30,907,qpso,aware,286.3329,0.0,0,78.6946,286.3329
30,907,qpso,ignoring,190.0595,209.9916,10,176.4308,2289.9753
