nodes,weights,pair,hops,algorithm,cost,exact_cost,gap_pct,seconds,dimension
40,time,10,4,qpso big,11.321284874087489,11.321284874087489,0.0,0.42760290000296663,17
40,time,10,4,pso,11.483560837952613,11.321284874087489,1.4333705552851708,0.08841240000037942,17
40,time,10,4,ga,11.321284874087489,11.321284874087489,0.0,0.3337792000020272,17
40,time,11,6,dijkstra,19.883890687957443,19.883890687957443,0.0,0.0001534000039100647,0
40,time,11,6,qpso,19.883890687957443,19.883890687957443,0.0,0.11190890000580112,31
40,time,11,6,qpso cold,19.883890687957443,19.883890687957443,0.0,0.0958731999999145,31
40,time,11,6,qpso big,19.883890687957443,19.883890687957443,0.0,0.7630148000025656,31
40,time,11,6,pso,19.883890687957443,19.883890687957443,0.0,0.10107759999664268,31
40,time,11,6,ga,19.883890687957443,19.883890687957443,0.0,0.35069819999625906,31
40,time,12,6,dijkstra,19.47117114671284,19.47117114671284,0.0,0.000225499999942258,0
40,time,12,6,qpso,19.47117114671284,19.47117114671284,0.0,0.10055649999412708,20
40,time,12,6,qpso cold,19.47117114671284,19.47117114671284,0.0,0.10396839999884833,20
40,time,12,6,qpso big,19.47117114671284,19.47117114671284,0.0,0.7138435999950161,20
40,time,12,6,pso,19.47117114671284,19.47117114671284,0.0,0.09893190000002505,20
40,time,12,6,ga,19.47117114671284,19.47117114671284,0.0,0.41205810000246856,20
40,time,13,4,dijkstra,14.414872102574758,14.414872102574758,0.0,0.00014139999984763563,0
40,time,13,4,qpso,14.414872102574758,14.414872102574758,0.0,0.1020490000009886,19
40,time,13,4,qpso cold,14.414872102574758,14.414872102574758,0.0,0.08230249999905936,19
40,time,13,4,qpso big,14.414872102574758,14.414872102574758,0.0,0.41419740000128513,19
40,time,13,4,pso,14.414872102574758,14.414872102574758,0.0,0.06593579999753274,19
40,time,13,4,ga,14.414872102574758,14.414872102574758,0.0,0.3072145000041928,19
40,time,14,8,dijkstra,19.05856399748403,19.05856399748403,0.0,0.00017559999832883477,0
40,time,14,8,qpso,19.05856399748403,19.05856399748403,0.0,0.11194490000343649,19
